species	RA	PRED	replicate	block	no_residents	no_dispersers	relevant_taxon	lab
zootoca_vivipara	standard	yes	liz_1	liz_K	4	3	vertebrate	moulis_toulouse
zootoca_vivipara	low	yes	liz_1	liz_L	7	0	vertebrate	moulis_toulouse
zootoca_vivipara	low	no	liz_2	liz_M	4	3	vertebrate	moulis_toulouse
zootoca_vivipara	standard	no	liz_2	liz_N	7	0	vertebrate	moulis_toulouse
zootoca_vivipara	low	yes	liz_2	liz_O	4	3	vertebrate	moulis_toulouse
zootoca_vivipara	standard	yes	liz_2	liz_P	5	2	vertebrate	moulis_toulouse
zootoca_vivipara	standard	no	liz_3	liz_I	5	1	vertebrate	moulis_toulouse
zootoca_vivipara	low	no	liz_3	liz_J	2	3	vertebrate	moulis_toulouse
zootoca_vivipara	standard	yes	liz_3	liz_K	3	4	vertebrate	moulis_toulouse
zootoca_vivipara	low	yes	liz_3	liz_L	4	2	vertebrate	moulis_toulouse
zootoca_vivipara	low	no	liz_4	liz_M	4	3	vertebrate	moulis_toulouse
zootoca_vivipara	standard	no	liz_4	liz_N	4	3	vertebrate	moulis_toulouse
zootoca_vivipara	low	yes	liz_4	liz_O	2	3	vertebrate	moulis_toulouse
zootoca_vivipara	standard	yes	liz_4	liz_P	3	4	vertebrate	moulis_toulouse
paramecium_caudatum_LD	standard	no	1	1	650	13	protist	montpellier
paramecium_caudatum_LD	standard	no	2	2	1690	0	protist	montpellier
paramecium_caudatum_LD	standard	no	3	3	1300	0	protist	montpellier
paramecium_caudatum_LD	standard	no	4	4	953	0	protist	montpellier
paramecium_caudatum_LD	standard	no	5	5	563	0	protist	montpellier
paramecium_caudatum_LD	standard	no	6	6	780	0	protist	montpellier
paramecium_caudatum_LD	low	no	1	1	910	7	protist	montpellier
paramecium_caudatum_LD	low	no	2	2	1343	26	protist	montpellier
paramecium_caudatum_LD	low	no	3	3	997	7	protist	montpellier
paramecium_caudatum_LD	low	no	4	4	0	0	protist	montpellier
paramecium_caudatum_LD	low	no	5	5	953	7	protist	montpellier
paramecium_caudatum_LD	low	no	6	6	607	7	protist	montpellier
paramecium_caudatum_LD	standard	yes	1	1	1690	7	protist	montpellier
paramecium_caudatum_LD	standard	yes	2	2	1950	7	protist	montpellier
paramecium_caudatum_LD	standard	yes	3	3	823	0	protist	montpellier
paramecium_caudatum_LD	standard	yes	4	4	1040	0	protist	montpellier
paramecium_caudatum_LD	standard	yes	5	5	910	273	protist	montpellier
paramecium_caudatum_LD	standard	yes	6	6	780	0	protist	montpellier
paramecium_caudatum_LD	low	yes	1	1	1365	124	protist	montpellier
paramecium_caudatum_LD	low	yes	2	2	1213	30	protist	montpellier
paramecium_caudatum_LD	low	yes	3	3	693	7	protist	montpellier
paramecium_caudatum_LD	low	yes	4	4	607	20	protist	montpellier
paramecium_caudatum_LD	low	yes	5	5	563	52	protist	montpellier
paramecium_caudatum_LD	low	yes	6	6	737	7	protist	montpellier
paramecium_caudatum_HD	standard	no	1	1	910	13	protist	montpellier
paramecium_caudatum_HD	standard	no	2	2	1170	7	protist	montpellier
paramecium_caudatum_HD	standard	no	3	3	1300	98	protist	montpellier
paramecium_caudatum_HD	standard	no	4	4	1517	59	protist	montpellier
paramecium_caudatum_HD	standard	no	5	5	1040	13	protist	montpellier
paramecium_caudatum_HD	standard	no	6	6	1040	20	protist	montpellier
paramecium_caudatum_HD	low	no	1	1	910	26	protist	montpellier
paramecium_caudatum_HD	low	no	2	2	650	33	protist	montpellier
paramecium_caudatum_HD	low	no	3	3	1473	91	protist	montpellier
paramecium_caudatum_HD	low	no	4	4	1387	91	protist	montpellier
paramecium_caudatum_HD	low	no	5	5	1040	39	protist	montpellier
paramecium_caudatum_HD	low	no	6	6	1170	20	protist	montpellier
paramecium_caudatum_HD	standard	yes	1	1	260	26	protist	montpellier
paramecium_caudatum_HD	standard	yes	2	2	953	0	protist	montpellier
paramecium_caudatum_HD	standard	yes	3	3	1343	117	protist	montpellier
paramecium_caudatum_HD	standard	yes	4	4	1040	65	protist	montpellier
paramecium_caudatum_HD	standard	yes	5	5	823	46	protist	montpellier
paramecium_caudatum_HD	standard	yes	6	6	1387	46	protist	montpellier
paramecium_caudatum_HD	low	yes	1	1	390	169	protist	montpellier
paramecium_caudatum_HD	low	yes	2	2	953	39	protist	montpellier
paramecium_caudatum_HD	low	yes	3	3	1387	150	protist	montpellier
paramecium_caudatum_HD	low	yes	4	4	1300	85	protist	montpellier
paramecium_caudatum_HD	low	yes	5	5	1647	358	protist	montpellier
paramecium_caudatum_HD	low	yes	6	6	910	65	protist	montpellier
tetrahymena_elliotti	low	no	1	1	5752	5383	protist	louvain
tetrahymena_elliotti	low	no	2	1	8232	5963	protist	louvain
tetrahymena_elliotti	low	no	3	1	10818	6491	protist	louvain
tetrahymena_elliotti	low	no	4	1	4011	18364	protist	louvain
tetrahymena_elliotti	low	no	5	1	10765	7757	protist	louvain
tetrahymena_elliotti	standard	no	1	1	3958	6649	protist	louvain
tetrahymena_elliotti	standard	no	2	1	4485	7916	protist	louvain
tetrahymena_elliotti	standard	no	3	1	8338	8654	protist	louvain
tetrahymena_elliotti	standard	no	4	1	2797	16359	protist	louvain
tetrahymena_elliotti	standard	no	5	1	3483	13668	protist	louvain
tetrahymena_elliotti	low	yes	1	1	7177	5858	protist	louvain
tetrahymena_elliotti	low	yes	2	1	8549	6913	protist	louvain
tetrahymena_elliotti	low	yes	3	1	9499	6649	protist	louvain
tetrahymena_elliotti	low	yes	4	1	6544	10871	protist	louvain
tetrahymena_elliotti	low	yes	5	1	9340	9710	protist	louvain
tetrahymena_elliotti	standard	yes	1	1	2850	12876	protist	louvain
tetrahymena_elliotti	standard	yes	2	1	4749	11609	protist	louvain
tetrahymena_elliotti	standard	yes	3	1	4116	11609	protist	louvain
tetrahymena_elliotti	standard	yes	4	1	3325	11768	protist	louvain
tetrahymena_elliotti	standard	yes	5	1	4274	17942	protist	louvain
tetrahymena_thermophila	low	no	1	1	10923	1847	protist	louvain
tetrahymena_thermophila	low	no	2	1	8391	1425	protist	louvain
tetrahymena_thermophila	low	no	3	1	13087	1425	protist	louvain
tetrahymena_thermophila	low	no	4	1	7916	1055	protist	louvain
tetrahymena_thermophila	low	no	5	1	6807	1530	protist	louvain
tetrahymena_thermophila	standard	no	1	1	6966	2164	protist	louvain
tetrahymena_thermophila	standard	no	2	1	6280	2058	protist	louvain
tetrahymena_thermophila	standard	no	3	1	9657	1741	protist	louvain
tetrahymena_thermophila	standard	no	4	1	10026	1003	protist	louvain
tetrahymena_thermophila	standard	no	5	1	7124	1583	protist	louvain
tetrahymena_thermophila	low	yes	1	1	8602	1319	protist	louvain
tetrahymena_thermophila	low	yes	2	1	6438	1372	protist	louvain
tetrahymena_thermophila	low	yes	3	1	9340	2058	protist	louvain
tetrahymena_thermophila	low	yes	4	1	10607	3588	protist	louvain
tetrahymena_thermophila	low	yes	5	1	9340	1900	protist	louvain
tetrahymena_thermophila	standard	yes	1	1	8074	2586	protist	louvain
tetrahymena_thermophila	standard	yes	2	1	8127	2375	protist	louvain
tetrahymena_thermophila	standard	yes	3	1	7282	2427	protist	louvain
tetrahymena_thermophila	standard	yes	4	1	18206	1636	protist	louvain
tetrahymena_thermophila	standard	yes	5	1	12770	1266	protist	louvain
phoxinus_phoxinus	low	no	fish_1	fish_1	5	3	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	yes	fish_1	fish_1	3	0	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	yes	fish_1	fish_1	3	1	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	no	fish_1	fish_1	2	1	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	yes	fish_2	fish_1	2	1	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	no	fish_2	fish_1	3	3	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	yes	fish_2	fish_1	2	0	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	no	fish_2	fish_1	5	1	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	yes	fish_3	fish_1	1	2	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	yes	fish_3	fish_1	4	3	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	no	fish_3	fish_1	0	1	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	no	fish_3	fish_1	0	3	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	no	fish_4	fish_2	1	7	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	yes	fish_4	fish_2	1	7	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	yes	fish_4	fish_2	4	3	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	no	fish_4	fish_2	4	2	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	yes	fish_5	fish_2	2	4	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	no	fish_5	fish_2	3	2	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	yes	fish_5	fish_2	6	2	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	no	fish_5	fish_2	4	2	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	yes	fish_6	fish_2	0	4	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	yes	fish_6	fish_2	1	4	vertebrate	moulis_toulouse
phoxinus_phoxinus	low	no	fish_6	fish_2	2	5	vertebrate	moulis_toulouse
phoxinus_phoxinus	standard	no	fish_6	fish_2	2	4	vertebrate	moulis_toulouse
