species	RA	PRED	replicate	block	no_residents	no_dispersers	relevant_taxon	lab
dexiostoma_sp	low	no	2	1	75	0	protist	zurich
dexiostoma_sp	low	no	3	1	73	0	protist	zurich
dexiostoma_sp	low	no	4	1	66	0	protist	zurich
dexiostoma_sp	low	no	5	1	84	1	protist	zurich
dexiostoma_sp	low	no	6	1	52	0	protist	zurich
cornu_aspersum	low	no	1	1	6	4	mollusca	rennes
cornu_aspersum	low	yes	1	1	5	5	mollusca	rennes
cornu_aspersum	low	no	2	1	7	3	mollusca	rennes
cornu_aspersum	standard	yes	1	1	6	4	mollusca	rennes
cornu_aspersum	standard	no	1	1	8	2	mollusca	rennes
cornu_aspersum	standard	yes	2	1	9	1	mollusca	rennes
cornu_aspersum	standard	no	2	1	8	2	mollusca	rennes
cornu_aspersum	standard	yes	3	1	9	1	mollusca	rennes
cornu_aspersum	low	no	3	1	3	7	mollusca	rennes
cornu_aspersum	low	yes	2	1	9	1	mollusca	rennes
cornu_aspersum	standard	no	3	2	4	6	mollusca	rennes
cornu_aspersum	standard	yes	4	2	4	6	mollusca	rennes
cornu_aspersum	standard	no	4	2	9	1	mollusca	rennes
cornu_aspersum	low	yes	3	2	2	8	mollusca	rennes
cornu_aspersum	low	no	4	2	4	6	mollusca	rennes
cornu_aspersum	low	yes	4	2	4	6	mollusca	rennes
cornu_aspersum	low	no	5	2	4	6	mollusca	rennes
cornu_aspersum	low	yes	5	2	4	6	mollusca	rennes
cornu_aspersum	standard	no	5	2	6	4	mollusca	rennes
cornu_aspersum	standard	yes	5	2	7	3	mollusca	rennes
deroceras_reticulatum	standard	no	1	1	8	2	mollusca	rennes
deroceras_reticulatum	low	yes	1	1	4	6	mollusca	rennes
deroceras_reticulatum	low	no	1	1	0	10	mollusca	rennes
deroceras_reticulatum	standard	yes	1	1	4	6	mollusca	rennes
deroceras_reticulatum	low	no	2	1	2	8	mollusca	rennes
deroceras_reticulatum	standard	yes	2	1	4	6	mollusca	rennes
deroceras_reticulatum	low	no	3	1	9	1	mollusca	rennes
deroceras_reticulatum	low	yes	2	1	2	8	mollusca	rennes
deroceras_reticulatum	standard	no	2	1	9	1	mollusca	rennes
deroceras_reticulatum	standard	yes	3	1	3	7	mollusca	rennes
deroceras_reticulatum	low	no	4	2	2	8	mollusca	rennes
deroceras_reticulatum	low	yes	3	2	6	4	mollusca	rennes
deroceras_reticulatum	low	no	5	2	1	9	mollusca	rennes
deroceras_reticulatum	standard	yes	4	2	10	0	mollusca	rennes
deroceras_reticulatum	standard	no	3	2	4	6	mollusca	rennes
deroceras_reticulatum	low	yes	4	2	4	6	mollusca	rennes
deroceras_reticulatum	standard	no	4	2	4	6	mollusca	rennes
deroceras_reticulatum	standard	yes	5	2	4	6	mollusca	rennes
deroceras_reticulatum	standard	no	5	2	10	0	mollusca	rennes
deroceras_reticulatum	low	yes	5	2	0	10	mollusca	rennes
cryptomonas_sp	standard	no	1	1	28798	646.8	algae	namur
cryptomonas_sp	standard	yes	1	1	34342	954.8	algae	namur
cryptomonas_sp	low	no	1	1	23254	1170.4	algae	namur
cryptomonas_sp	low	yes	1	1	31570	1016.4	algae	namur
cryptomonas_sp	standard	no	2	1	28182	1386	algae	namur
cryptomonas_sp	standard	yes	2	1	24178	1386	algae	namur
cryptomonas_sp	low	no	2	1	16478	1078	algae	namur
cryptomonas_sp	low	yes	2	1	27874	2679.6	algae	namur
cryptomonas_sp	standard	no	3	1	25872	585.2	algae	namur
cryptomonas_sp	standard	yes	3	1	36344	1108.8	algae	namur
cryptomonas_sp	low	no	3	1	26026	1848	algae	namur
cryptomonas_sp	low	yes	3	1	31108	677.6	algae	namur
cryptomonas_sp	standard	no	4	2	15862	1201.2	algae	namur
cryptomonas_sp	standard	yes	4	2	23254	1540	algae	namur
cryptomonas_sp	low	no	4	2	22022	2833.6	algae	namur
cryptomonas_sp	low	yes	4	2	22176	1047.2	algae	namur
cryptomonas_sp	standard	no	5	2	19712	1447.6	algae	namur
cryptomonas_sp	standard	yes	5	2	20944	954.8	algae	namur
cryptomonas_sp	low	no	5	2	24948	2772	algae	namur
cryptomonas_sp	low	yes	5	2	22792	1139.6	algae	namur
cryptomonas_sp	standard	no	6	2	24794	770	algae	namur
cryptomonas_sp	standard	yes	6	2	17556	677.6	algae	namur
cryptomonas_sp	low	no	6	2	18172	3203.2	algae	namur
cryptomonas_sp	low	yes	6	2	21252	1786.4	algae	namur
dikerogammarus_villosus	low	no	1	1	20	0	arthropod	zurich
dikerogammarus_villosus	standard	yes	1	1	20	0	arthropod	zurich
dikerogammarus_villosus	low	yes	1	1	18	1	arthropod	zurich
dikerogammarus_villosus	standard	no	1	1	20	1	arthropod	zurich
dikerogammarus_villosus	standard	yes	2	1	19	0	arthropod	zurich
dikerogammarus_villosus	low	yes	2	1	20	0	arthropod	zurich
dikerogammarus_villosus	standard	no	2	1	20	0	arthropod	zurich
dikerogammarus_villosus	low	no	2	1	21	0	arthropod	zurich
dikerogammarus_villosus	standard	yes	3	2	20	0	arthropod	zurich
dikerogammarus_villosus	standard	no	3	2	20	0	arthropod	zurich
dikerogammarus_villosus	low	no	3	2	20	0	arthropod	zurich
dikerogammarus_villosus	low	yes	3	2	19	1	arthropod	zurich
dikerogammarus_villosus	standard	yes	4	2	20	0	arthropod	zurich
dikerogammarus_villosus	standard	no	4	2	20	0	arthropod	zurich
dikerogammarus_villosus	low	yes	4	2	20	0	arthropod	zurich
dikerogammarus_villosus	low	no	4	2	19	2	arthropod	zurich
dikerogammarus_villosus	low	yes	5	3	16	2	arthropod	zurich
dikerogammarus_villosus	low	no	5	3	19	1	arthropod	zurich
dikerogammarus_villosus	standard	yes	5	3	20	0	arthropod	zurich
dikerogammarus_villosus	standard	no	5	3	19	1	arthropod	zurich
dikerogammarus_villosus	standard	yes	6	3	19	1	arthropod	zurich
dikerogammarus_villosus	standard	no	6	3	20	0	arthropod	zurich
dikerogammarus_villosus	low	no	6	3	20	1	arthropod	zurich
dikerogammarus_villosus	low	yes	6	3	20	0	arthropod	zurich
dikerogammarus_villosus	low	no	7	4	19	0	arthropod	zurich
dikerogammarus_villosus	standard	no	7	4	20	0	arthropod	zurich
dikerogammarus_villosus	standard	yes	7	4	19	1	arthropod	zurich
dikerogammarus_villosus	low	yes	7	4	20	0	arthropod	zurich
dikerogammarus_villosus	standard	no	8	4	19	0	arthropod	zurich
dikerogammarus_villosus	low	no	8	4	19	0	arthropod	zurich
dikerogammarus_villosus	low	yes	8	4	19	1	arthropod	zurich
dikerogammarus_villosus	standard	yes	8	4	19	0	arthropod	zurich
dikerogammarus_villosus	standard	no	9	5	9	1	arthropod	zurich
dikerogammarus_villosus	standard	yes	9	5	21	0	arthropod	zurich
dikerogammarus_villosus	low	yes	9	5	20	0	arthropod	zurich
dikerogammarus_villosus	low	no	9	5	20	0	arthropod	zurich
dikerogammarus_villosus	low	yes	10	5	21	0	arthropod	zurich
